dataset,architecture,paradigm,model,n_questions,em,f1,cost_usd,latency_ms,avg_llm_calls,avg_retrieval_calls,run_id
hotpotqa,Vanilla RAG,Baseline,gpt-4o-mini,7405,0.44956110735989196,0.5950693159799755,0.7913088,1411.3363871824406,1.0,1.0,bfc8f29304c5
hotpotqa,ReAct RAG,Agentic,gpt-4o-mini,7405,0.4602295746117488,0.5993547866616007,9.18463995,7611.095462957333,4.048345712356516,2.6549628629304522,25cc3f6b90df
hotpotqa,Self-RAG,Agentic,gpt-4o-mini,7405,0.4064821066846725,0.5495139998458773,2.080683,1892.884684821088,10.746927751519245,0.837407157326131,7272b4eb8c81
hotpotqa,Planner RAG,Agentic,gpt-4o-mini,7405,0.3367994598244429,0.4492386619572344,4.0343268,4629.482134665484,8.13031735313977,2.3316677920324107,b4284f7fb029
hotpotqa,IRCoT,Recursive,gpt-4o-mini,7405,0.42930452397029034,0.5985972390306455,3.8084845499999997,9874.163042808812,4.164618501012829,3.5840648210668467,4d923d09821d
hotpotqa,REAP,Recursive,gpt-4o-mini,7405,0.2812964213369345,0.41737471289498695,6.493626,4612.630351519225,6.24375422012154,1.973936529372046,c4da1615351b
hotpotqa,Recursive LM,RLM,gpt-4o-mini,7405,0.46320054017555706,0.6024782455430625,3.18819855,7078.275681943944,3.6049966239027684,2.737069547602971,09581743885c
musique,Vanilla RAG,Baseline,gpt-4o-mini,2417,0.12577575506826644,0.24292779019106964,0.2712426,1088.6685742646375,1.0,1.0,e1c01e603e1b
musique,ReAct RAG,Agentic,gpt-4o-mini,2417,0.19735208936698387,0.27780418815576513,5.24114265,9373.865482251245,5.567232105916426,4.67025237898221,8d4736d42905
musique,Self-RAG,Agentic,gpt-4o-mini,2417,0.11625982623086471,0.23176007818846778,0.9966549,4290.070842987323,13.789822093504345,0.9536615639222176,1c0a526fc03e
musique,Planner RAG,Agentic,gpt-4o-mini,2417,0.1580471659081506,0.25870575761759623,2.07624705,6227.464490072437,10.146048820852297,2.766652875465453,66516cec05b6
musique,IRCoT,Recursive,gpt-4o-mini,2417,0.21721141911460487,0.35878025323724516,1.7090598,6614.818228051548,4.642945800579231,4.3251965246172945,51077083f3ca
musique,REAP,Recursive,gpt-4o-mini,2417,0.06950765411667356,0.15645790273864324,2.16784125,5229.731967148283,6.907736863880844,2.273065784029789,37b58fa1b536
musique,Recursive LM,RLM,gpt-4o-mini,2417,0.16466694249069094,0.28552655663907256,2.13753195,13235.095302068314,7.834091849400083,5.585436491518411,99900bcd153f
