dataset,architecture,retriever,em,f1,cost_usd,latency_ms,avg_llm_calls,run_id
musique,Vanilla RAG,Dense,0.12577575506826644,0.24292779019106964,0.2712426,1088.6685742646375,1.0,e1c01e603e1b
musique,Vanilla RAG,Hybrid,0.11998345055854365,0.2350494970444635,0.2663697,1484.1151592062276,1.0,db4e27283f1c
musique,Vanilla RAG,BM25,0.06909391808026479,0.16253658477555136,0.2599884,1251.3910436083881,1.0,eecfa8d0669c
musique,ReAct RAG,Dense,0.19735208936698387,0.27780418815576513,5.24114265,9373.865482251245,5.567232105916426,8d4736d42905
musique,ReAct RAG,Hybrid,0.19321472900289616,0.28115906334310725,5.15471535,8875.623619238952,5.598676044683492,f34150a94ab1
musique,ReAct RAG,BM25,0.11915597848572611,0.1804437438601664,5.74477275,11703.462975631233,6.091849400082747,85e4a6b94230
musique,Self-RAG,Dense,0.11625982623086471,0.23176007818846778,0.9966549,4290.070842987323,13.789822093504345,1c0a526fc03e
musique,Self-RAG,Hybrid,0.10798510550268929,0.22264280147595958,0.9540069,977.147999503723,13.57261067438974,b6cd2de95a51
musique,Self-RAG,BM25,0.06826644600744725,0.1634255252417189,0.97927935,6629.562865661384,14.10136532892015,b666a9d4f08f
musique,Planner RAG,Dense,0.1580471659081506,0.25870575761759623,2.07624705,6227.464490072437,10.146048820852297,66516cec05b6
musique,Planner RAG,Hybrid,0.14563508481588747,0.24256460398533977,2.02965195,12641.946458915047,10.200661977658253,dc3a1e2ecbfb
musique,Planner RAG,BM25,0.07529995862639637,0.15113263937514693,2.0675884499999997,11760.47996317717,10.806371534960695,6cc7eba11f34
musique,IRCoT,Dense,0.21721141911460487,0.35878025323724516,1.7090598,6614.818228051548,4.642945800579231,51077083f3ca
musique,IRCoT,Hybrid,0.20810922631361192,0.3463532608774228,1.73198655,8388.863049275778,4.644187008688457,202cc61ab6bb
musique,IRCoT,BM25,0.16756309474555234,0.280781001778434,1.6765455,5824.455755689063,4.606950765411668,d9578a21a73b
musique,REAP,Dense,0.0703351261894911,0.1566305507665767,2.1419159999999997,4750.894678982562,6.9333884981381875,842f7d8bb682
musique,REAP,Hybrid,0.06950765411667356,0.15645790273864324,2.16784125,5229.731967148283,6.907736863880844,37b58fa1b536
musique,REAP,BM25,0.04468349193214729,0.11577170936836914,2.23303005,12097.574939842567,7.704178733967729,26863c8883c1
musique,Recursive LM,Dense,0.16466694249069094,0.28552655663907256,2.13753195,13235.095302068314,7.834091849400083,99900bcd153f
musique,Recursive LM,Hybrid,0.16673562267273478,0.28893498322496336,2.0963571,8772.275652213544,7.406702523789822,f01337dd1fe8
musique,Recursive LM,BM25,0.09846917666528755,0.19757838467584135,3.0882072,13753.20304584273,12.29333884981382,32f5bafa00b7
