dataset_arch,correct,complete_miss,low_overlap,partial,near_miss,verbose,loop,yes_no_flip
hotpotqa_Vanilla RAG,0.44956110735989196,0.2776502363268062,0.04010803511141121,0.09223497636731938,0.137339635381499,0.0031060094530722484,0.0,0.006887238352464551
hotpotqa_ReAct RAG,0.4602295746117488,0.29574611748818364,0.02633355840648211,0.07116812964213369,0.14098582039162727,0.005536799459824443,0.0,0.003511141120864281
hotpotqa_Self-RAG,0.4064821066846725,0.32207967589466574,0.039837947332883185,0.09777177582714382,0.13085752869682646,0.002970965563808238,0.0,0.008777852802160702
hotpotqa_Planner RAG,0.3367994598244429,0.4442943956785955,0.034031060094530725,0.08170155300472653,0.10033760972316003,0.002835921674544227,0.0,0.00675219446320054
hotpotqa_IRCoT,0.42930452397029034,0.23659689399054692,0.05077650236326806,0.137339635381499,0.14139095205941932,0.004591492234976367,0.0,0.0013504388926401081
hotpotqa_REAP,0.2812964213369345,0.4286293045239703,0.06185010128291695,0.11600270087778528,0.10925050641458474,0.002970965563808238,0.0,0.010398379473328832
hotpotqa_Recursive LM,0.46320054017555706,0.2861580013504389,0.0287643484132343,0.0825118163403106,0.13666441593517895,0.0027008777852802163,0.0,0.005671843349088454
musique_Vanilla RAG,0.12577575506826644,0.5875051717004551,0.0860570955730244,0.12577575506826644,0.07364501448076127,0.0012412081092263137,0.0,0.0
musique_ReAct RAG,0.19735208936698387,0.6479106330161357,0.029375258585022754,0.049234588332643776,0.06619776582540339,0.00992966487381051,0.0,0.0
musique_Self-RAG,0.11625982623086471,0.6048820852296235,0.07654116673562267,0.13115432354158046,0.06868018204385602,0.0024824162184526274,0.0,0.0
musique_Planner RAG,0.1580471659081506,0.6152254861398427,0.05502689284236657,0.09846917666528755,0.07074886222589988,0.0024824162184526274,0.0,0.0
musique_IRCoT,0.21721141911460487,0.4968969797269342,0.03806371534960695,0.14149772445179976,0.10012412081092263,0.006206040546131568,0.0,0.0
musique_REAP,0.06950765411667356,0.6992139015308233,0.08936698386429458,0.08729830368225072,0.0517170045510964,0.0028961522548613984,0.0,0.0
musique_Recursive LM,0.16466694249069094,0.5618535374431113,0.06040546131568059,0.12577575506826644,0.08522962350020687,0.002068680182043856,0.0,0.0
