sweep,display,param,value,architecture,em,f1,cost_usd,tokens_per_q,llm_calls,run_id
topk,Retrieval Depth,top_k,10,vanilla_rag,0.64,0.7731685523970352,0.021633300000000005,1427.22,1.0,10
topk,Retrieval Depth,top_k,20,vanilla_rag,0.64,0.7731685523970352,0.021633300000000005,1427.22,1.0,20
topk,Retrieval Depth,top_k,3,vanilla_rag,0.49,0.6091142996412209,0.0072685499999999995,463.54,1.0,3
topk,Retrieval Depth,top_k,5,vanilla_rag,0.52,0.6523259398528611,0.0115707,754.1,1.0,5
iter,Iteration Budget,max_iterations,10,react_rag,0.48,0.5961540616246499,0.08607884999999998,10789.88,4.54,10
iter,Iteration Budget,max_iterations,3,react_rag,0.32,0.40872549019607846,0.03628694999999999,4404.88,2.98,3
iter,Iteration Budget,max_iterations,7,react_rag,0.48,0.5961540616246499,0.06591074999999999,8172.44,4.12,7
depth,Recursion Depth,max_depth,2,recursive_lm,0.6,0.7154761904761905,0.011256599999999997,1451.92,1.56,2
depth,Recursion Depth,max_depth,3,recursive_lm,0.58,0.7054761904761905,0.011876249999999996,1525.24,1.7,3
depth,Recursion Depth,max_depth,5,recursive_lm,0.58,0.7054761904761905,0.012385799999999997,1586.4,1.78,5
