dataset,architecture,run_id,em,f1,cost,n_questions
hotpotqa,Vanilla RAG,bfc8f29304c5,0.44956110735989196,0.5950693159799755,0.7913088,7405
hotpotqa,ReAct RAG,25cc3f6b90df,0.4602295746117488,0.5993547866616007,9.18463995,7405
hotpotqa,Self-RAG,7272b4eb8c81,0.4064821066846725,0.5495139998458773,2.080683,7405
hotpotqa,Planner RAG,b4284f7fb029,0.3367994598244429,0.4492386619572344,4.0343268,7405
hotpotqa,IRCoT,4d923d09821d,0.42930452397029034,0.5985972390306455,3.8084845499999997,7405
hotpotqa,REAP,c4da1615351b,0.2812964213369345,0.41737471289498695,6.493626,7405
hotpotqa,Recursive LM,09581743885c,0.46320054017555706,0.6024782455430625,3.18819855,7405
musique,Vanilla RAG,e1c01e603e1b,0.12577575506826644,0.24292779019106964,0.2712426,2417
musique,ReAct RAG,8d4736d42905,0.19735208936698387,0.27780418815576513,5.24114265,2417
musique,Self-RAG,1c0a526fc03e,0.11625982623086471,0.23176007818846778,0.9966549,2417
musique,Planner RAG,66516cec05b6,0.1580471659081506,0.25870575761759623,2.07624705,2417
musique,IRCoT,51077083f3ca,0.21721141911460487,0.35878025323724516,1.7090598,2417
musique,REAP,37b58fa1b536,0.06950765411667356,0.15645790273864324,2.16784125,2417
musique,Recursive LM,99900bcd153f,0.16466694249069094,0.28552655663907256,2.13753195,2417
